"chembl_id","canonical_smiles","ic50"
"CHEMBL2369741","CCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H]1CCC(=O)NCCCC[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)[C@@H](C)CC)[C@@H](C)CC)NC(=O)[C@@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O","5"
"CHEMBL2370927","CCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@](C)(CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@](C)(CC(C)C)C(=O)N[C@H](C(N)=O)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC","0.92"
"CHEMBL174068","CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21","200"
"CHEMBL174068","CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21","17"
"CHEMBL38172","Cc1c(C)c2c(c(C)c1O)SC(CCCO)O2","0.1"
"CHEMBL38172","Cc1c(C)c2c(c(C)c1O)SC(CCCO)O2","1500"
"CHEMBL38172","Cc1c(C)c2c(c(C)c1O)SC(CCCO)O2","90"
"CHEMBL146","Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1","0.1"
"CHEMBL444315","CC(c1ccccc1)N(O)C(=O)Cc1ccc(OCc2ccccc2)cc1","30"
"CHEMBL444315","CC(c1ccccc1)N(O)C(=O)Cc1ccc(OCc2ccccc2)cc1","300"
"CHEMBL444315","CC(c1ccccc1)N(O)C(=O)Cc1ccc(OCc2ccccc2)cc1","400"
"CHEMBL276583","NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1","98"
"CHEMBL15416","NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C(F)(F)F)C1","300"
"CHEMBL2115202","CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)C[S@+]([O-])[C@H]12","4000"
"CHEMBL18854","CCCCCCS(=O)(=O)c1ccc(Cl)cc1C1NC(=O)NC1=O","230"
"CHEMBL53239","Cc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1","1100"
"CHEMBL53239","Cc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1","8000"
"CHEMBL53239","Cc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1","2200"
