chembl_id,canonical_smiles,ic50,mol,MolWt,LogP,TPSA,NumHAcceptors,NumHDonors,RingCount
CHEMBL324340,Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,2500.0,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47F7D0>,398.37400000000014,4.302020000000003,100.71,5,1,5
CHEMBL109600,COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,9000.0,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47F840>,520.4970000000003,5.677800000000005,119.17,7,1,6
CHEMBL357278,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CC3)ccc2s1,4000.0,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47F8B0>,543.0110000000001,4.272920000000004,77.93,7,2,4
CHEMBL152968,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,180.0,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47F920>,516.6670000000001,4.267720000000003,77.93,7,2,5
CHEMBL152968,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,6000.0,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47F990>,516.6670000000001,4.267720000000003,77.93,7,2,5
CHEMBL429345,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0.009,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47FA00>,460.4470000000002,0.48730000000000023,209.01999999999998,10,7,3
CHEMBL429345,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0.056,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47FA70>,460.4470000000002,0.48730000000000023,209.01999999999998,10,7,3
CHEMBL429345,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0.064,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47FAE0>,460.4470000000002,0.48730000000000023,209.01999999999998,10,7,3
CHEMBL415997,Cn1cnc2c1C(=O)N1CCN=C1N2Cc1ccc(Cl)cc1,2.9,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47FB50>,315.764,1.9054999999999993,53.730000000000004,5,0,4
CHEMBL305153,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,29.4,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47FBC0>,324.42400000000004,3.1850000000000014,53.849999999999994,4,2,3
CHEMBL305153,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,30.8,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47FC30>,324.42400000000004,3.1850000000000014,53.849999999999994,4,2,3
CHEMBL156707,O=C(O)c1cnc2cc(OCCOc3ccc4ccccc4c3)ccc2c1O,1584.89,<rdkit.Chem.rdchem.Mol object at 0x000001FE3C47FCA0>,375.38000000000005,4.249600000000003,88.88000000000001,5,2,4
